"ACTDATE","FLICODE","DEPARTURE","ARRIVAL","ELAPSEDTIME_FROM_LASTPOINT","ELAPSEDTIME_TOTAL","FLIGHT_LEVEL","TEMPERATURE","FUEL_REMAIN","GROUND_SPEED","WIND_SPEED","TAS","WIND_DIRECTION","HEADING","WAYPOINT","WAYPOINT_ORDER","DISTANCE_FROM_LASTPOINT","LATITUDE","LONGITUDE"
2018-06-06,"BR067","BKK","LHR",0,29,"300","M27",99.7,549,9,507,68,299,"BETNO",12,0,15.0983333333333,98.2083333333333
2018-06-06,"BR067","BKK","LHR",26,55,"300","M26",95.5,516,10,507,82,299,"PTN",13,224,16.8083333333333,94.77
2018-06-06,"BR067","BKK","LHR",2,57,"320","M28",95,515,11,505,99,294,"T_O_S",14,20,16.94,94.4516666666667
2018-06-06,"BR067","BKK","LHR",2,59,"320","M31",94.8,517,12,505,97,NA,"E.ENT",15,15,17.0416666666667,94.205
2018-06-06,"BR067","BKK","LHR",16,115,NA,NA,NA,NA,NA,NA,NA,NA,"-VECF KOLKATA_FIR",16,137,17.9283333333333,92
2018-06-06,"BR067","BKK","LHR",0,115,"320","M31",92.2,528,12,505,97,294,"SAGOD",17,0,17.93,91.9966666666667
2018-06-06,"BR067","BKK","LHR",20,135,"320","M31",89.2,517,13,505,112,292,"RUMUN",18,169,18.9683333333333,89.2383333333333
2018-06-06,"BR067","BKK","LHR",4,139,"320","M31",88.6,519,13,505,115,292,"BUBKO",19,35,19.185,88.6633333333333
2018-06-06,"BR067","BKK","LHR",13,152,"320","M31",86.4,516,11,505,98,293,"BIXON",20,119,19.915,86.7133333333333
2018-06-06,"BR067","BKK","LHR",4,156,"320","M31",85.9,513,10,505,86,292,"BOLUS",21,33,20.1133333333333,86.1716666666667
2018-06-06,"BR067","BKK","LHR",3,159,"320","M31",85.5,513,10,505,83,292,"BBS",22,22,20.2433333333333,85.8133333333333
2018-06-06,"BR067","BKK","LHR",8,207,"320","M31",84.3,514,11,505,78,NA,"E.ETP1",23,68,20.6933333333333,84.6983333333333
2018-06-06,"BR067","BKK","LHR",6,213,"320","M31",83.3,514,11,505,78,294,"VIBAL",24,56,21.055,83.7833333333333
2018-06-06,"BR067","BKK","LHR",8,221,"320","M31",82.1,512,9,503,83,293,"OGUNA",25,67,21.485,82.6733333333333
